epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.137,0.92735,1.19262,1.19,0.66626,0.71463,0.71923,0.48849,1.20331,1.47894,1.57569,0.000551698,0.000551698,0.000551698
2,192.947,0.99782,0.94947,1.24018,0.67952,0.4939,0.59099,0.37098,1.31898,1.60175,1.58276,0.0010964,0.0010964,0.0010964
3,283.396,1.03643,0.995,1.27146,0.73057,0.69233,0.72781,0.50155,1.19594,1.19346,1.52048,0.0016301,0.0016301,0.0016301
4,371.916,1.02428,0.94494,1.26176,0.84556,0.75705,0.82887,0.60644,1.04084,1.11837,1.43143,0.00161749,0.00161749,0.00161749
5,459.12,0.98341,0.89665,1.22568,0.83007,0.81431,0.87969,0.63861,0.97969,0.84017,1.32515,0.00160099,0.00160099,0.00160099
6,546.745,0.94786,0.80168,1.20413,0.80702,0.81459,0.85486,0.5867,1.10453,0.8768,1.40637,0.00158448,0.00158448,0.00158448
7,634.03,0.92087,0.79016,1.19043,0.86989,0.87062,0.92523,0.69203,0.90187,0.6716,1.22508,0.00156798,0.00156798,0.00156798
8,721.199,0.92427,0.76853,1.18068,0.87656,0.87332,0.92568,0.70647,0.8656,0.65284,1.2025,0.00155148,0.00155148,0.00155148
9,808.113,0.9072,0.75187,1.17256,0.90828,0.87884,0.93655,0.72194,0.84603,0.62956,1.19497,0.00153497,0.00153497,0.00153497
10,896.97,0.88319,0.71954,1.16603,0.8971,0.90164,0.94371,0.72099,0.89031,0.58735,1.21168,0.00151847,0.00151847,0.00151847
11,985.978,0.86751,0.68753,1.15512,0.94603,0.92065,0.96056,0.74201,0.83214,0.56634,1.17391,0.00150197,0.00150197,0.00150197
12,1076.05,0.84476,0.67287,1.1393,0.91133,0.93977,0.96451,0.75985,0.78032,0.55374,1.13926,0.00148546,0.00148546,0.00148546
13,1163.94,0.85134,0.66818,1.14105,0.93402,0.9183,0.95894,0.7585,0.80421,0.56226,1.14587,0.00146896,0.00146896,0.00146896
14,1253.28,0.83447,0.6413,1.13299,0.92285,0.89648,0.95404,0.74587,0.79747,0.53667,1.13857,0.00145246,0.00145246,0.00145246
15,1340.5,0.82261,0.6265,1.1335,0.92935,0.93037,0.96447,0.76071,0.78124,0.50782,1.12569,0.00143595,0.00143595,0.00143595
16,1428.74,0.80898,0.62791,1.11615,0.94957,0.94736,0.97247,0.77481,0.77143,0.45402,1.12229,0.00141945,0.00141945,0.00141945
17,1515.41,0.81834,0.61009,1.11247,0.94269,0.94339,0.9679,0.77172,0.75438,0.47713,1.09816,0.00140295,0.00140295,0.00140295
18,1603.68,0.80451,0.58917,1.10852,0.93487,0.94297,0.97014,0.77297,0.78146,0.46747,1.10792,0.00138644,0.00138644,0.00138644
19,1688.72,0.80902,0.6017,1.11978,0.94445,0.95642,0.97416,0.7917,0.75024,0.44092,1.08597,0.00136994,0.00136994,0.00136994
